supply_point_index,x_coordinate,y_coordinate,total_parking_slots,existing_num_SCS,existing_num_FCS
0,50.16310969822545,19.412014469051357,23,5,3
1,37.336450525122,58.11922465250145,27,4,7
2,46.70923188864823,57.52565042995158,31,6,14
3,30.52862569937389,55.379835377384964,26,5,5
4,51.52178092883343,35.116755445477715,32,11,6
5,32.50820112131673,59.70136475052203,28,9,6
6,38.60388018952851,37.60749210722793,25,9,8
7,38.1623591413188,24.63367334225027,32,6,6
8,39.21748351159083,42.026200895336245,30,9,1
9,15.5542798119588,46.81531013061426,21,6,5
10,52.21843817815421,6.438881293830157,14,6,0
11,36.86098867401861,25.03740219666092,21,9,4
12,16.043989714247147,38.194649182042305,22,5,5
13,36.42321532955393,32.55040832400852,28,7,5
14,56.0270970696331,36.36169093825228,30,4,12
15,56.56800987191686,31.653290904018355,24,5,6
16,50.70985799588174,55.12703383278311,13,4,2
17,13.302022636212783,37.57603230048918,7,4,0
18,33.21623863688507,28.706834278179493,26,1,8
19,49.73440988854461,27.598145576450825,28,6,8
20,31.91338187936057,42.88436168417883,23,6,8
21,50.18666036410587,53.9093329329515,28,10,8
22,45.96042571371708,51.65154431840485,20,5,4
23,5.417160757316488,55.60930009628022,24,4,7
24,14.405801835295748,2.6004497053376596,20,7,3
25,32.319980326763414,57.66979052057631,28,6,10
26,38.31131287471802,52.844583498262644,31,7,11
27,50.626573549382115,24.86840896960731,29,8,4
28,26.312972562398805,39.153335316791036,32,11,6
29,56.401703386383446,39.0476635459983,28,6,3
30,40.46800896354461,21.623384309040155,19,5,2
31,51.85605436399097,33.216467790809716,33,6,9
32,42.656713757160546,36.594996869982374,34,7,10
33,49.88132548447268,44.704155694823996,29,6,7
34,4.501085816086764,22.99221214855916,19,5,1
35,54.987238951629365,11.967468955062898,9,2,1
36,6.565148131002367,37.174360422021145,30,4,9
37,18.627809225302656,26.86626418266082,13,4,4
38,8.46296386776362,1.3151757210737074,20,5,4
39,50.922057963656464,28.554520572790246,29,6,6
40,49.12900754056182,27.629855716103172,24,7,6
41,29.595862689741573,40.78742555928201,21,3,4
42,49.192592610741855,40.25090422685574,30,11,4
43,43.40343975910167,48.6457495503035,33,6,10
44,7.733223090209194,56.55795319961961,18,1,6
45,36.7348353972721,40.13694010270993,31,7,6
46,26.29148814947837,40.61401679209382,28,3,8
47,49.827216579459055,50.44335521631937,21,5,1
48,23.79547670756957,40.243897980600714,28,7,10
49,8.930118350798196,42.76853671024383,30,7,13
50,30.250596877262815,26.566873654370283,30,7,8
51,3.3539761959720735,39.753100498063056,12,4,1
52,30.17784757183363,56.8668827976625,27,3,7
53,43.92297742333854,47.48504682761146,34,2,16
54,45.36497647643123,33.54635968974671,32,3,10
55,3.6473907199682216,40.83671220659857,16,3,1
56,31.37293207872019,45.06347631247161,29,6,9
57,17.01581050979381,2.8036642325178676,17,5,1
58,0.2479711960838742,41.89616489750388,20,8,3
59,50.86657014800556,20.667454498243877,23,7,3
60,20.80918181204789,1.8450634584380623,10,2,3
61,2.848185685069417,59.787741447436225,11,3,0
62,29.499587772035852,46.37470886144571,31,5,10
63,48.30898517923561,53.077659318194875,18,6,5
64,11.544921040405363,31.360860929513215,20,3,2
65,27.82999568332928,35.65146012288362,33,4,11
66,16.703230510972126,14.834424026755535,14,2,2
67,42.215730670184726,47.48297955299573,33,8,13
68,33.16181102157518,43.17732826581448,27,6,9
69,40.224750270972095,18.35718707182903,30,5,6
70,51.82392502570093,35.39985728495107,29,2,8
71,49.5873391612708,36.447874435069046,35,12,7
72,40.25531887934968,57.65183063405337,24,10,1
73,53.37176133442614,33.69187574201851,27,5,4
74,24.58190915287752,3.787539581615164,11,3,1
75,28.236486276832906,46.4510730074737,33,3,15
76,41.848119891485155,4.258886251905842,10,4,2
77,47.82777662688765,24.490769867722143,29,7,11
78,43.94538340803847,29.60958946184445,36,11,8
79,32.89181415560339,46.87583003025131,30,7,6
80,38.264217426137186,39.712651075616705,25,8,9
81,51.57725798512266,46.89401310754663,35,7,7
82,22.7718072711395,47.071981789101685,22,6,7
83,46.168813762672215,25.84184377030794,26,7,6
84,1.3237611165283596,47.35734414848339,8,5,2
85,18.5457663511946,43.91109216789311,26,9,7
86,21.162141726597078,47.83327427867895,27,6,7
87,23.24435677108317,40.045636793815724,24,5,5
88,0.06481875817302551,9.008559498120668,17,4,1
89,49.831534985351034,47.826044851404546,31,3,10
90,17.00854602403534,18.237621313874776,26,11,5
91,28.683500879637506,47.61832223597328,36,3,12
92,39.020095981484424,5.800271657476003,19,6,3
93,24.912761543798034,56.3293842423195,27,8,6
94,29.780031373302016,53.11054972114021,30,7,9
95,45.47120393674363,20.999413882258025,24,3,4
96,30.318395576915897,33.38833529250144,32,5,10
97,36.218838627313964,22.235765629301724,32,4,14
98,42.93691546541783,38.122441838974716,28,7,5
99,19.5902626569233,3.8302841963347376,24,2,11
